Instep Length,Instep Height,Instep Width
166.3,55.7,77.11565
167.5,55.6,76
160.7,68,75.5
161.7,69.1,76.5
168.7,58.7,83.5
166.4,62.9,81.1
176.3,63.2,80.6
171.4,69.9,73.6
169.5,64.2,78.9
164.6,65,80.4
169.3,59.3,83.8
170,60.9,82.1
175.2,65.6,79.7
172.8,65.8,79.8
171.3,60.7,80.4
173.2,61.9,78.6
176.2,67.6,80.7
169.1,66.8,74.3007
171.9,64.7,76.6
182.1,63.8,84.4
177,68.8,81.5
175.5,58.6,86.4
173.6,67.7,77.7
175.1,69.4,75.4
177.2,54.2,83.7
175.5,55.7,84.2
186.4,69.7,87.6
180.8,73.1,83.9
187.3,60.2,75.9
182.1,61.4,77.8
175.6,65.2,80.9
179.3,63,82.5
174.5,68.9,84.6
179.8,67.9,82.8
178.7,66.4,79.7
185.6,68.8,79.5
183.4,66.8,81
180.7,69.3,82.6
183.6,72.5,79.9
191.2,69.8,84.1
187.3,71.3,83.3
166.1,63,72.1
158.8,65,76.3
161.6,64.4,76.60661
157.9,67.5,77.7599
161.6,62.4,75.5
165.2,59.8,79.1
165.1,66.8,74
163.1,65.7,77
168.3,67.1,76.6
165.5,58.3,91.1
164.2,57.3,88.80414
169.2,64.1,82.07468
168.6,60.4,82.3
163.8,53.6,81.7
163.8,54.8,83.2
168.4,64,80.1
170.6,63,82.9
172.4,63.6,84.1
171.7,67.7,83.2
169.2,64.6,75.8
168.2,65,70.5
158.9,69.8,91.7
179.2,72.3,91
170.5,58.6,84.2
167.9,64.3,80.4
172.4,59.8,87.1
174.8,70,82.3
170.9,68.1,84
182,57.6,82.5
185.5,63,85.6
183.8,65.7,86.9
188,66.9,89.8
185.8,68.6,86
177.6,70.1,100.4
178,64.6,78.6
180.4,62.3,81.3
177.9,63.7,95.7
179.1,65.8,95.3
188.6,61.2,87.4
183.9,62.9,87
177.8,63.9,81
177.4,65.6,81
179.9,68.1,78.8
183.5,67.6,79.5
183.6,67.6,85.9
184.6,64.5,88.5
