Foot length,Ball Girth circumference,Foot breadth,Instep circumference,Heel breadth,Instep length,Fibulare Instep length,Height of Top of Ball Girth,Height of Instep,Long Heel Girth,Instep Width
227.6,213.8,88.7,212.1,60.1,166.3,143.2,37.4,55.7,303.3543,77.11565
225.2,209.7,87.1,211.4,59.5,167.5,146.1,35.9,55.6,301,76
225.2,222.7,91.1,227.6,58.4,160.7,152.5,38.8,68,310.2,75.5
226.2,227.7,92.3,234.3,57.9,161.7,148.2,42,69.1,309.7,76.5
230.3,229.1,94.3,228,63.6,168.7,146,39.1,58.7,313.2,83.5
228.2,229.9,93.5,228.5,63.2,166.4,143.4,41.2,62.9,313,81.1
231.4,219.5,90.3,229.7,60.7,172.4,152.4,36.9,62.5,315.3,83.4
228.9,220.6,89.8,228.1,57.7,170.7,151.8,39.1,64.4,310.3,80.5
238.5,229.7,93.9,229,59.4,176.3,150.7,40.2,63.2,320.2,80.6
230.8,227.9,90.5,230.9,57.3,171.4,147.3,44.3,69.9,314.4,73.6
231.2,228,94.5,224.7,61.8,169.5,149,39.2,64.2,315,78.9
231.3,232.6,95.4,228,62.4,164.6,149,42.2,65,316.6,80.4
235.2,222.9,92.2,227.8,61.7,169.3,148.3,39.4,59.3,318.4,83.8
234.3,225.5,94.1,227.4,61.4,170,147.2,39.4,60.9,317.2,82.1
236.3,229.1,94.1,228.4,60.9,175.2,153.7,41,65.6,315.4,79.7
234.5,228.9,94.2,229,60.9,172.8,151.3,41.2,65.8,316,79.8
233.7,220.9,89.6,226.3,58.2,171.3,153.3,38.6,60.7,310.9,80.4
234.9,220.5,88.9,224.4,58.1,173.2,151.8,39.3,61.9,314.7,78.6
236.7,226.6,93.7,233,60.6,176.2,160.8,39.6,67.6,323.3,80.7
237.6,226.9,94.6,234.1,62.1,174.1,156.8,39.7,68.9,326.1967,79.79277
238.9,223.3,89.6,240.8,64,169.1,151.2,43.3,66.8,326.6376,74.3007
238.7,227.1,91.1,224.4,63.5,171.9,144.4,44,64.7,325.7,76.6
243.2,236,97.8,236.9,61.3,182.1,158,40.2,63.8,329.7,84.4
238.8,235.7,95.3,237.5,61.4,177,156.4,44.4,68.8,329.2,81.5
235.2,229.5,97.3,234,59.8,179.3,148.2,35.7,58.6,310.2,87.5
238.8,229.8,95.7,232.4,57.5,175.5,148.2,38.1,58.6,309.8,86.4
242,229.7,94.7,230,64.7,173.6,155.3,42.4,67.7,330.9,77.7
242.2,231.2,95,227.9,63,175.1,157.3,42.3,69.4,328.9,75.4
240.2,255,106.2,254.6,62.7,172.8,159.2,41.7,72.3,330.1,88.9
243.5,252.2,104.9,253,64.8,174.2,159.2,44.2,72.7,334.1,88.1
246.3,222.7,92.3,224.4,65.7,177.2,155.2,36.5,54.2,324.8,83.7
244.2,224.2,91.8,225.5,63,175.5,151.8,37.2,55.7,321.7,84.2
250.5,235.4,96.9,246.8,63.4,186.4,162.3,39.9,69.7,337,87.6
246.3,238.5,97.5,247.4,60.5,180.8,160.4,42.3,73.1,336.3,83.9
251.1,217.5,88,215.1,60,187.3,169.2,39,60.2,325.3,75.9
246.5,221.8,90.6,219.4,59.2,182.1,164.2,38.4,61.4,322.5,77.8
243.8,232.5,95.1,231.6,61.2,175.6,146.1,43.9,65.2,328.6,80.9
246.6,232.3,96.2,231.1,60.6,179.3,151.7,42.3,63,326.2,82.5
243.2,243.5,100.9,242.2,61.9,174.5,157.2,42,68.9,330.5,84.6
246.7,235.2,97.3,237.1,62.2,179.8,161.3,39.9,67.9,332.8,82.8
245,233.9,95.1,231.4,60.8,179,156.9,42.4,65.7,326.5,80.7
248.2,236.9,96.1,231.1,62.2,178.7,157.5,43.3,66.4,330.4,79.7
244.6,228.6,95.6,234.1,67.8,185.6,164.5,39.1,68.8,340,79.5
248.8,229.5,94.4,234.9,67,183.4,162.8,40.4,66.8,340.7,81
252.4,239.5,95.8,239.9,67.3,180.7,160.5,44.6,69.3,348.3,82.6
249.4,240.9,96.3,241.7,66.8,183.6,158.5,45.8,72.5,342.5,79.9
259.6,238.3,97.9,240.9,66.8,191.2,163.3,41.9,69.8,349.6,84.1
256.4,232.5,94.2,240.3,68.5,187.3,165.3,43.5,71.3,351.3,83.3
212.3,212.2,89.4,213.9,55.2,166.1,140.9,35,63,292.4,72.1
