Foot length,Foot breadth,Instep circumference,Instep length,Height of Instep,Instep Width,1D Component Fit,2D Component Fit,3D Component Fit
227.6,88.7,212.1,166.3,55.7,77.11565,6.356197,1.577938,0.064658
225.2,87.1,211.4,167.5,55.6,76,6.315668,1.58479,0.063417
225.2,91.1,227.6,160.7,68,75.5,4.908506,1.73521,0.109381
226.2,92.3,234.3,161.7,69.1,76.5,4.676806,1.516074,0.060094
230.3,94.3,228,168.7,58.7,83.5,4.709079,2.093214,0.054494
228.2,93.5,228.5,166.4,62.9,81.1,4.059709,2.680306,0.061465
238.5,93.9,229,176.3,63.2,80.6,6.02687,2.528332,0.112011
230.8,90.5,230.9,171.4,69.9,73.6,4.527148,1.672846,0.124768
231.2,94.5,224.7,169.5,64.2,78.9,6.834706,1.524758,0.053571
231.3,95.4,228,164.6,65,80.4,5.897087,2.152757,0.058547
235.2,92.2,227.8,169.3,59.3,83.8,5.891868,2.537946,0.085145
234.3,94.1,227.4,170,60.9,82.1,6.213272,1.416236,0.057453
236.3,94.1,228.4,175.2,65.6,79.7,4.712936,2.068964,0.051502
234.5,94.2,229,172.8,65.8,79.8,4.587268,1.033752,0.056678
233.7,89.6,226.3,171.3,60.7,80.4,5.071689,1.453534,0.107858
234.9,88.9,224.4,173.2,61.9,78.6,6.588902,2.014122,0.059228
236.7,93.7,233,176.2,67.6,80.7,3.860734,1.524035,0.093932
238.9,89.6,240.8,169.1,66.8,74.3007,7.423831,1.520763,0.084466
238.7,91.1,224.4,171.9,64.7,76.6,7.31118,1.392105,0.063144
243.2,97.8,236.9,182.1,63.8,84.4,5.209418,2.954213,0.066815
238.8,95.3,237.5,177,68.8,81.5,5.305465,1.212845,0.046968
238.8,95.7,232.4,175.5,58.6,86.4,4.26061,2.557284,0.056367
242,94.7,230,173.6,67.7,77.7,6.020465,1.440318,0.087162
242.2,95,227.9,175.1,69.4,75.4,5.899869,1.528326,0.067758
246.3,92.3,224.4,177.2,54.2,83.7,4.289731,2.193815,0.126847
244.2,91.8,225.5,175.5,55.7,84.2,3.399852,1.846096,0.074693
250.5,96.9,246.8,186.4,69.7,87.6,6.427224,1.530741,0.085765
246.3,97.5,247.4,180.8,73.1,83.9,6.252225,1.249057,0.071683
251.1,88,215.1,187.3,60.2,75.9,7.025567,1.790145,0.59285
246.5,90.6,219.4,182.1,61.4,77.8,5.880219,2.937852,0.065788
243.8,95.1,231.6,175.6,65.2,80.9,7.332733,3.187427,0.072722
246.6,96.2,231.1,179.3,63,82.5,5.433685,1.771803,0.073009
243.2,100.9,242.2,174.5,68.9,84.6,5.887346,2.390068,0.084274
246.7,97.3,237.1,179.8,67.9,82.8,6.420665,1.893743,0.0507
248.2,96.1,231.1,178.7,66.4,79.7,6.533913,1.38504,0.075452
244.6,95.6,234.1,185.6,68.8,79.5,5.983793,2.014297,0.056871
248.8,94.4,234.9,183.4,66.8,81,6.330004,2.697566,0.067696
252.4,95.8,239.9,180.7,69.3,82.6,5.05889,1.442517,0.068091
249.4,96.3,241.7,183.6,72.5,79.9,5.087429,1.294371,0.079815
259.6,97.9,240.9,191.2,69.8,84.1,6.800333,1.444582,0.086147
256.4,94.2,240.3,187.3,71.3,83.3,5.844608,1.376641,0.151471
212.3,89.4,213.9,166.1,63,72.1,3.989007,1.646037,0.081822
214.1,90,222.4,158.8,65,76.3,5.796953,2.658287,0.05925
215.7,92.3,221.7,161.6,64.4,76.60661,5.109964,1.313224,0.056188
216.9,94.1,231.5,157.9,67.5,77.7599,5.327332,4.515753,0.05254
212.5,96,218.9,161.6,62.4,75.5,6.7946,2.308622,0.082086
221.6,96.7,219.9,165.2,59.8,79.1,5.81095,2.268861,0.105381
226.8,91.3,222.2,165.1,66.8,74,5.531104,2.561945,0.059742
225.2,94.2,225.6,163.1,65.7,77,5.394701,1.448014,0.058065
227.1,95.9,228.8,168.3,67.1,76.6,5.925135,2.593101,0.082835
228.2,98.3,240,165.5,58.3,91.1,4.536617,2.534224,0.080192
227.2,97.2,234.4,164.2,57.3,88.80414,4.332082,2.032704,0.056898
225.4,94.3,233.1,169.2,64.1,82.07468,5.271327,1.323421,0.086318
228.4,94.7,227.9,168.6,60.4,82.3,4.730704,2.653248,0.074872
225.9,90.7,216,163.8,53.6,81.7,4.725538,2.266443,0.052875
228.9,92.2,219,163.8,54.8,83.2,5.462572,1.488074,0.115332
225.4,89.8,224.7,168.4,64,80.1,4.738045,2.324147,0.053524
229.1,91.4,228.3,170.6,63,82.9,3.526167,2.308844,0.062208
235.3,93.3,233.2,172.4,63.6,84.1,4.8269,2.296697,0.067989
231.5,94.2,237.8,171.7,67.7,83.2,5.713209,1.96868,0.032419
237.9,91,223.3,169.2,64.6,75.8,5.816141,3.950254,0.051157
232.8,88.6,216.5,168.2,65,70.5,6.522367,1.304492,0.125462
232.4,101.7,257.5,158.9,69.8,91.7,6.251018,3.061891,0.087098
234.4,104.2,257.4,179.2,72.3,91,5.081108,1.800165,0.079114
239.8,95,226.3,170.5,58.6,84.2,4.443216,2.028307,0.096109
234.9,95.2,227.7,167.9,64.3,80.4,5.815437,2.467495,0.060782
235.2,96.2,234.4,172.4,59.8,87.1,4.953148,2.151346,0.090026
242.7,95.6,241.4,174.8,70,82.3,5.760537,1.961533,0.135305
240.4,96.9,241.1,170.9,68.1,84,6.115377,1.66466,0.072741
243.1,93.6,222.3,182,57.6,82.5,5.842463,1.958009,0.135123
248.1,96.8,236.6,185.5,63,85.6,6.899244,1.619533,0.3808
245.9,93.9,242.2,183.8,65.7,86.9,6.575975,1.500303,0.115536
249.6,98.4,251.4,188,66.9,89.8,5.361706,2.730311,0.075486
246.3,93.6,244.3,185.8,68.6,86,4.453063,1.539228,0.071778
246.5,111.8,270.6,177.6,70.1,100.4,5.529144,1.909423,0.108913
243.8,92.1,225,178,64.6,78.6,3.90152,1.829889,0.077049
247.6,90.6,224.7,180.4,62.3,81.3,5.351851,2.563617,0.169892
245.6,103.2,256.9,177.9,63.7,95.7,4.210615,2.435669,0.083935
247.9,104.2,260.5,179.1,65.8,95.3,4.616499,2.262459,0.073222
250.1,95.4,238,188.6,61.2,87.4,4.803249,3.28313,0.060992
248.8,95.3,238.2,183.9,62.9,87,4.328991,3.456333,0.078435
250.4,97.8,226.2,177.8,63.9,81,5.375741,2.139796,0.075769
249.7,97.8,229.7,177.4,65.6,81,5.503235,1.896706,0.166027
247.7,94.4,231.4,179.9,68.1,78.8,6.140179,2.270143,0.083349
251.2,96.9,231.9,183.5,67.6,79.5,6.676682,2.909087,0.062366
252,98.3,243,183.6,67.6,85.9,4.09634,2.252887,0.052369
254,99.6,243.4,184.6,64.5,88.5,4.868674,2.197033,0.059378
