City,Id No.,L/R,Gender,Age,Foot length,Ball Girth circumference,Foot breadth,Instep circumference,Heel breadth,Instep length,Fibulare Instep length,Height of Top of Ball Girth,Height of Instep,Long Heel Girth,Instep Width,,1D Component Fit,,2D Component Fit,,3D Component Fit,,,
,,,,,,,,,,,,,,,,,Mean Distance,St Dev,Mean Distance,St Dev,Mean Distance,St Dev,DATASET,
,,,,,,,,,,,,,,,,,,,,,,,86,/100
Kettering,001_L,L,Female,33,227.6,213.8,88.7,212.1,60.1,166.3,143.2,37.4,55.7,303.3543,77.11565,,6.356197,4.993682,1.577938,1.535803,0.064658,0.116415,,
Kettering,001_R,R,Female,33,225.2,209.7,87.1,211.4,59.5,167.5,146.1,35.9,55.6,301,76,,6.315668,4.740907,1.58479,1.33001,0.063417,0.134549,,
Wigan,002_L,L,Female,20,225.2,222.7,91.1,227.6,58.4,160.7,152.5,38.8,68,310.2,75.5,,4.908506,3.280356,1.73521,1.395244,0.109381,0.1832,,
Wigan,002_R,R,Female,20,226.2,227.7,92.3,234.3,57.9,161.7,148.2,42,69.1,309.7,76.5,,4.676806,2.890908,1.516074,1.172133,0.060094,0.086134,,
London,003_L,L,Female,31,230.3,229.1,94.3,228,63.6,168.7,146,39.1,58.7,313.2,83.5,,4.709079,2.860549,2.093214,1.765067,0.054494,0.081344,,
London,003_R,R,Female,31,228.2,229.9,93.5,228.5,63.2,166.4,143.4,41.2,62.9,313,81.1,,4.059709,2.499835,2.680306,1.9351,0.061465,0.092016,,
London,004_L,L,Female,29,231.4,219.5,90.3,229.7,60.7,172.4,152.4,36.9,62.5,315.3,83.4,,,,,,,,,
London,004_R,R,Female,29,228.9,220.6,89.8,228.1,57.7,170.7,151.8,39.1,64.4,310.3,80.5,,,,,,,,ERROR,
London,005_L,L,Female,23,238.5,229.7,93.9,229,59.4,176.3,150.7,40.2,63.2,320.2,80.6,,6.02687,4.536005,2.528332,1.650204,0.112011,0.221107,,
London,005_R,R,Female,23,230.8,227.9,90.5,230.9,57.3,171.4,147.3,44.3,69.9,314.4,73.6,,4.527148,3.21958,1.672846,1.485441,0.124768,0.21416,,
Manchester,006_L,L,Female,34,231.2,228,94.5,224.7,61.8,169.5,149,39.2,64.2,315,78.9,,6.834706,3.945207,1.524758,1.303663,0.053571,0.080991,,
Manchester,006_R,R,Female,34,231.3,232.6,95.4,228,62.4,164.6,149,42.2,65,316.6,80.4,,5.897087,4.473586,2.152757,1.655584,0.058547,0.096209,,
Leicester,007_L,L,Female,25,235.2,222.9,92.2,227.8,61.7,169.3,148.3,39.4,59.3,318.4,83.8,,5.891868,3.579722,2.537946,1.768932,0.085145,0.159185,,
Leicester,007_R,R,Female,25,234.3,225.5,94.1,227.4,61.4,170,147.2,39.4,60.9,317.2,82.1,,6.213272,4.06253,1.416236,1.141041,0.057453,0.100053,,
Manchester,008_L,L,Female,21,236.3,229.1,94.1,228.4,60.9,175.2,153.7,41,65.6,315.4,79.7,,4.712936,3.243168,2.068964,1.703947,0.051502,0.09698,,
Manchester,008_R,R,Female,21,234.5,228.9,94.2,229,60.9,172.8,151.3,41.2,65.8,316,79.8,,4.587268,2.676632,1.033752,0.79883,0.056678,0.090864,,
London,009_L,L,Female,20,233.7,220.9,89.6,226.3,58.2,171.3,153.3,38.6,60.7,310.9,80.4,,5.071689,3.522424,1.453534,1.367564,0.107858,0.186946,,
London,009_R,R,Female,20,234.9,220.5,88.9,224.4,58.1,173.2,151.8,39.3,61.9,314.7,78.6,,6.588902,4.981588,2.014122,1.615703,0.059228,0.100397,,
London,010_L,L,Female,25,236.7,226.6,93.7,233,60.6,176.2,160.8,39.6,67.6,323.3,80.7,,3.860734,2.93215,1.524035,1.491383,0.093932,0.240124,,
London,010_R,R,Female,25,237.6,226.9,94.6,234.1,62.1,174.1,156.8,39.7,68.9,326.1967,79.79277,,,,,,,,ERROR,
Northampton,011_L,L,Female,18,238.9,223.3,89.6,240.8,64,169.1,151.2,43.3,66.8,326.6376,74.3007,,7.423831,5.639983,1.520763,1.717997,0.084466,0.137206,,
Northampton,011_R,R,Female,18,238.7,227.1,91.1,224.4,63.5,171.9,144.4,44,64.7,325.7,76.6,,7.31118,5.712658,1.392105,1.387829,0.063144,0.114247,,
London,012_L,L,Female,19,243.2,236,97.8,236.9,61.3,182.1,158,40.2,63.8,329.7,84.4,,5.209418,3.828087,2.954213,2.215619,0.066815,0.136349,,
London,012_R,R,Female,19,238.8,235.7,95.3,237.5,61.4,177,156.4,44.4,68.8,329.2,81.5,,5.305465,3.43824,1.212845,1.102865,0.046968,0.069724,,
Manchester,013_L,L,Female,28,235.2,229.5,97.3,234,59.8,179.3,148.2,35.7,58.6,310.2,87.5,,,,,,,,ERROR,
Manchester,013_R,R,Female,28,238.8,229.8,95.7,232.4,57.5,175.5,148.2,38.1,58.6,309.8,86.4,,4.26061,2.984616,2.557284,1.68421,0.056367,0.106131,,
Leicester,014_L,L,Female,32,242,229.7,94.7,230,64.7,173.6,155.3,42.4,67.7,330.9,77.7,,6.020465,3.559062,1.440318,1.214602,0.087162,0.165251,,
Leicester,014_R,R,Female,32,242.2,231.2,95,227.9,63,175.1,157.3,42.3,69.4,328.9,75.4,,5.899869,3.72939,1.528326,1.250641,0.067758,0.121824,,
Wigan,015_L,L,Female,26,240.2,255,106.2,254.6,62.7,172.8,159.2,41.7,72.3,330.1,88.9,,,,,,,,ERROR,
Wigan,015_R,R,Female,26,243.5,252.2,104.9,253,64.8,174.2,159.2,44.2,72.7,334.1,88.1,,,,,,,,ERROR,
London,016_L,L,Female,18,246.3,222.7,92.3,224.4,65.7,177.2,155.2,36.5,54.2,324.8,83.7,,4.289731,3.254719,2.193815,1.783485,0.126847,0.222476,,
London,016_R,R,Female,18,244.2,224.2,91.8,225.5,63,175.5,151.8,37.2,55.7,321.7,84.2,,3.399852,2.621801,1.846096,1.550036,0.074693,0.132068,,
London,017_L,L,Female,18,250.5,235.4,96.9,246.8,63.4,186.4,162.3,39.9,69.7,337,87.6,,6.427224,4.172739,1.530741,1.452933,0.085765,0.155767,,
London,017_R,R,Female,18,246.3,238.5,97.5,247.4,60.5,180.8,160.4,42.3,73.1,336.3,83.9,,6.252225,4.623419,1.249057,1.249571,0.071683,0.130301,,
London,018_L,L,Female,26,251.1,217.5,88,215.1,60,187.3,169.2,39,60.2,325.3,75.9,,7.025567,5.094186,1.790145,1.481127,0.59285,0.604604,,
London,018_R,R,Female,26,246.5,221.8,90.6,219.4,59.2,182.1,164.2,38.4,61.4,322.5,77.8,,5.880219,3.532981,2.937852,1.705439,0.065788,0.124742,,
Kettering,019_L,L,Female,25,243.8,232.5,95.1,231.6,61.2,175.6,146.1,43.9,65.2,328.6,80.9,,7.332733,6.050689,3.187427,2.481676,0.072722,0.126165,,
Kettering,019_R,R,Female,25,246.6,232.3,96.2,231.1,60.6,179.3,151.7,42.3,63,326.2,82.5,,5.433685,4.283428,1.771803,1.059509,0.073009,0.128191,,
London,020_L,L,Female,34,243.2,243.5,100.9,242.2,61.9,174.5,157.2,42,68.9,330.5,84.6,,5.887346,4.322366,2.390068,1.967666,0.084274,0.157069,,
London,020_R,R,Female,34,246.7,235.2,97.3,237.1,62.2,179.8,161.3,39.9,67.9,332.8,82.8,,6.420665,5.612439,1.893743,1.669391,0.0507,0.081525,,
London,021_L,L,Female,24,245,233.9,95.1,231.4,60.8,179,156.9,42.4,65.7,326.5,80.7,,,,,,,,ERROR,
London,021_R,R,Female,24,248.2,236.9,96.1,231.1,62.2,178.7,157.5,43.3,66.4,330.4,79.7,,6.533913,4.642293,1.38504,1.246548,0.075452,0.123163,,
London,022_L,L,Female,28,244.6,228.6,95.6,234.1,67.8,185.6,164.5,39.1,68.8,340,79.5,,5.983793,4.169423,2.014297,1.790557,0.056871,0.097057,,
London,022_R,R,Female,28,248.8,229.5,94.4,234.9,67,183.4,162.8,40.4,66.8,340.7,81,,6.330004,4.742643,2.697566,1.530503,0.067696,0.117327,,
London,023_L,L,Female,27,252.4,239.5,95.8,239.9,67.3,180.7,160.5,44.6,69.3,348.3,82.6,,5.05889,3.847908,1.442517,1.429199,0.068091,0.115404,,
London,023_R,R,Female,27,249.4,240.9,96.3,241.7,66.8,183.6,158.5,45.8,72.5,342.5,79.9,,5.087429,3.527025,1.294371,1.150892,0.079815,0.126822,,
Leicester,024_L,L,Female,30,259.6,238.3,97.9,240.9,66.8,191.2,163.3,41.9,69.8,349.6,84.1,,6.800333,4.564902,1.444582,1.480897,0.086147,0.142601,,
Leicester,024_R,R,Female,30,256.4,232.5,94.2,240.3,68.5,187.3,165.3,43.5,71.3,351.3,83.3,,5.844608,4.08387,1.376641,1.317904,0.151471,0.246722,,
California,025_L,L,Female,24,212.3,212.2,89.4,213.9,55.2,166.1,140.9,35,63,292.4,72.1,,3.989007,2.740043,1.646037,1.364629,0.081822,0.169951,,
California,025_R,R,Female,24,210.1,211.7,87.2,213.8,56.2,151.9,140,38.3,61.2,290,73.6,,,,,,,,ERROR,
New York,026_L,L,Female,31,214.1,218.6,90,222.4,56.7,158.8,143,40.9,65,299.1,76.3,,5.796953,3.498205,2.658287,2.079788,0.05925,0.103965,,
New York,026_R,R,Female,31,215.7,221.8,92.3,221.7,57.9,161.6,140.8,39.8,64.4,299.9326,76.60661,,5.109964,3.113882,1.313224,1.075496,0.056188,0.129801,,
California,027_L,L,Female,34,216.9,233,94.1,231.5,58.7,157.9,135,44.4,67.5,304.338,77.7599,,5.327332,3.398893,4.515753,3.092344,0.05254,0.091329,,
California,027_R,R,Female,34,218.2,229.1,94.9,226,59.8,161.1,140.4,39.7,65.5,303.7,77.8,,,,,,,,ERROR,
California,028_L,L,Female,26,212.5,225.4,96,218.9,58.5,161.6,135.5,35.5,62.4,295.7,75.5,,6.7946,5.226051,2.308622,2.0261,0.082086,0.12467,,
California,028_R,R,Female,26,221.6,227.5,96.7,219.9,58.9,165.2,136.3,37.4,59.8,302.2,79.1,,5.81095,4.207027,2.268861,1.846235,0.105381,0.249384,,
Kansas,029_L,L,Female,34,220.8,217.9,90.2,228.9,60,160.7,149,38.4,68,308.9,75.1,,,,,,,,ERROR,
Kansas,029_R,R,Female,34,226.8,221.8,91.3,222.2,60.2,165.1,146.6,38.5,66.8,310.3,74,,5.531104,4.128895,2.561945,2.173855,0.059742,0.102858,,
California,030_L,L,Female,19,225.2,226.8,94.2,225.6,57.9,163.1,143.2,38.7,65.7,307.3,77,,5.394701,3.492847,1.448014,1.582632,0.058065,0.132125,,
California,030_R,R,Female,19,227.1,228.7,95.9,228.8,59.4,168.3,148.5,37.1,67.1,310,76.6,,5.925135,3.092201,2.593101,1.768272,0.082835,0.178565,,
New York,031_L,L,Female,26,228.2,238.3,98.3,240,63.3,165.5,145.4,41.4,58.3,309.8,91.1,,4.536617,2.885811,2.534224,1.852711,0.080192,0.137341,,
New York,031_R,R,Female,26,227.2,235,97.2,234.4,61,164.2,144.1,40.8,57.3,302.3387,88.80414,,4.332082,2.693649,2.032704,1.705248,0.056898,0.100576,,
Kansas,032_L,L,Female,22,225.4,227.5,94.3,233.1,62.9,169.2,145.7,40.8,64.1,315.8723,82.07468,,5.271327,3.389584,1.323421,1.264674,0.086318,0.170928,,
Kansas,032_R,R,Female,22,228.4,228.6,94.7,227.9,64.9,168.6,144.2,40.6,60.4,316.3,82.3,,4.730704,2.703565,2.653248,1.801023,0.074872,0.155176,,
California,033_L,L,Female,31,225.9,213.6,90.7,216,59.7,163.8,146.1,32.6,53.6,300.9,81.7,,4.725538,3.230808,2.266443,1.478543,0.052875,0.109493,,
California,033_R,R,Female,31,228.9,219.3,92.2,219,58.7,163.8,147.2,34.5,54.8,301.8,83.2,,5.462572,3.785917,1.488074,1.379357,0.115332,0.211798,,
